"eBird.English.Name.2025","eBird.Scientific.Name.2025","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Avilist.English.Name","Avilist.Scientific.Name","Avibase.ID","Selected.NRL","Generation.Length","No.of.Subspecies","Percent.of.Global.Range","India.Checklist.Sortorder","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","proj2031.lci","proj2031.mean","proj2031.rci","proj2032.lci","proj2032.mean","proj2032.rci","proj2033.lci","proj2033.mean","proj2033.rci","rangelci","rangemean","rangerci"
"Yellow-legged Buttonquail","Turnix tanki","yelbut1","Charadriiformes","Turnicidae (Buttonquail)","Moderate","Data Deficient","Data Deficient","Moderate","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Non-specialized","Resident & Within-India Migrant",1,NA,NA,"Yellow-legged Buttonquail","Turnix tanki","Yellow-legged Buttonquail","Turnix tanki","Least Concern","Schedule-II","","",NA,"Yellow-legged Buttonquail","Turnix tanki","avibase-950909C3",1,2.91,2,0.302785675,286,"","","",7,0.142857142857143,0.142857142857143,NA,16.7142857142857,4.7379883213589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10552,11565,12578
"Barred Buttonquail","Turnix suscitator","barbut1","Charadriiformes","Turnicidae (Buttonquail)","Low","Uncertain","Uncertain","Large","24 hour","Diurnal","Plant & Seed","No","No","No","Non-endemic","Grassland & Scrub","Resident",NA,NA,NA,"Barred Buttonquail","Turnix suscitator","Barred Buttonquail","Turnix suscitator","Least Concern","Schedule-II","","",NA,"Barred Buttonquail","Turnix suscitator","avibase-FDA8873B",1,3.05,3,0.35002639,287,"","","X",187,0.0320855614973262,0.300802139037433,0.588235294117647,12.8983957219251,0.909721956951602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1281205,1281905,1282605
"Small Buttonquail","Turnix sylvaticus","smabut2","Charadriiformes","Turnicidae (Buttonquail)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Grassland & Scrub","Local Migrant",NA,NA,NA,"Small Buttonquail","Turnix sylvaticus","Common Buttonquail","Turnix sylvaticus","Least Concern","Schedule-II","","",NA,"Common Buttonquail","Turnix sylvaticus","avibase-0DA8BB90",1,2.83,1,0.165322633,288,"","","",3,0.333333333333333,0.333333333333333,NA,15,11.9757978161513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crab-Plover","Dromas ardeola","craplo1","Charadriiformes","Dromadidae (Crab-Plover)",NA,NA,NA,NA,"24 hour","24 hour","Invertebrate","No","No","No","Non-endemic","Wetland","Winter Migrant",1,NA,NA,"Crab-Plover","Dromas ardeola","Crab-plover","Dromas ardeola","Least Concern","Schedule-II","","Appendix II",NA,"Crab-plover","Dromas ardeola","avibase-C3E33FEB",1,8.41,1,0.052052584,289,"","","",8,0.375,0.160714285714286,0.25,11.875,3.94507604489445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15424,15700,15976
"Jerdon's Courser","Rhinoptilus bitorquatus","jercou1","Charadriiformes","Glareolidae (Pratincoles and Coursers)","High","Data Deficient","Data Deficient","Data Deficient","Nocturnal","Nocturnal","Invertebrate","Yes","Yes","No","Eastern Andhra Pradesh","Forest","Resident",NA,NA,NA,"Jerdon's Courser","Rhinoptilus bitorquatus","Jerdon's Courser","Rhinoptilus bitorquatus","Critically Endangered","Schedule-I","","",1,"Jerdon's Courser","Rhinoptilus bitorquatus","avibase-A632F945",1,5.28,1,1,290,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,604,604
"Indian Courser","Cursorius coromandelicus","indcou1","Charadriiformes","Glareolidae (Pratincoles and Coursers)","Moderate","Moderate Decline","Strong Decline","Large","Diurnal","Diurnal","Invertebrate","No","Yes","No","Indian Subcontinent","Grassland","Resident",NA,NA,NA,"Indian Courser","Cursorius coromandelicus","Indian Courser","Cursorius coromandelicus","Near Threatened","Schedule-I","","",NA,"Indian Courser","Cursorius coromandelicus","avibase-236D9272",1,4.04,1,0.863404627,291,"","X","X",127,0.094488188976378,0.248031496062992,0.377952755905512,12.2283464566929,1.09191497455971,NA,NA,NA,-8.54695930539895,-6.6148797360037,-4.68280016660844,24.5469255842072,29.4429597282392,35.3598398797603,21.3162914211314,26.2451913596354,32.349068521272,18.4750650037815,23.3937532479689,29.5773292275292,16.016236738913,20.8215931449332,27.0309837061793,13.8840478019372,18.5221515517464,24.7382562804527,12.0362396891035,16.5045844964062,22.6544281875649,10.435964828768,14.6977892083966,20.735973939803,9.03160087980212,13.0772674554848,19.0145452450672,430824,431460,432096
"Cream-colored Courser","Cursorius cursor","crccou1","Charadriiformes","Glareolidae (Pratincoles and Coursers)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Grassland","Resident & Winter Migrant",NA,NA,NA,"Cream-coloured Courser","Cursorius cursor","Cream-coloured Courser","Cursorius cursor","Least Concern","Schedule-II","","",NA,"Cream-colored Courser","Cursorius cursor","avibase-DE0A72A7",1,4.09,1,0.03583601,292,"","","",38,0.131578947368421,0.299342105263158,0.315789473684211,10.2894736842105,2.08811681151274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Small Pratincole","Glareola lactea","smapra1","Charadriiformes","Glareolidae (Pratincoles and Coursers)","Moderate","Strong Decline","Uncertain","Large","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Small Pratincole","Glareola lactea","Little Pratincole","Glareola lactea","Least Concern","Schedule-II","","",710,"Small Pratincole","Glareola lactea","avibase-D9A310F1",1,3.22,1,0.499910618,293,"","","",115,0.0956521739130435,0.229347826086957,0.373913043478261,12.6782608695652,1.19300716954666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037024,1037647,1038270
"Collared Pratincole","Glareola pratincola","colpra","Charadriiformes","Glareolidae (Pratincoles and Coursers)",NA,NA,NA,NA,"24 hour","24 hour","Invertebrate","No","No","No","Non-endemic","Open Habitat","Winter Migrant & Localized Summer Migrant",NA,NA,NA,"Collared Pratincole","Glareola pratincola","Collared Pratincole","Glareola pratincola","Least Concern","Schedule-II","","Appendix II",NA,"Collared Pratincole","Glareola pratincola","avibase-D56ABB4E",1,3.65,1,0.00656346,294,"","","",7,NA,0.309523809523809,0.714285714285714,11.1428571428571,5.74511966803129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oriental Pratincole","Glareola maldivarum","oripra","Charadriiformes","Glareolidae (Pratincoles and Coursers)","Moderate","Data Deficient","Uncertain","Restricted","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Wetland","Summer Migrant & Localized Winter Migrant",NA,NA,NA,"Oriental Pratincole","Glareola maldivarum","Oriental Pratincole","Glareola maldivarum","Least Concern","Schedule-II","","",1000,"Oriental Pratincole","Glareola maldivarum","avibase-3222F80F",1,3.76,1,0.073045564,295,"","","",13,0.0769230769230769,0.221153846153846,0.307692307692308,17.1538461538462,3.06584698761685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130522,131163,131804
"Long-tailed Jaeger","Stercorarius longicaudus","lotjae","Charadriiformes","Stercorariidae (Skuas and Jaegers)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Passage Migrant",NA,NA,NA,"Long-tailed Skua","Stercorarius longicaudus","Long-tailed Jaeger","Stercorarius longicaudus","Least Concern","Schedule-II","","",NA,"Long-tailed Jaeger","Stercorarius longicaudus","avibase-1D446440",1,9.81,1,NA,296,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parasitic Jaeger","Stercorarius parasiticus","parjae","Charadriiformes","Stercorariidae (Skuas and Jaegers)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Arctic Skua","Stercorarius parasiticus","Arctic Jaeger","Stercorarius parasiticus","Least Concern","Schedule-II","","",NA,"Parasitic Jaeger","Stercorarius parasiticus","avibase-39086887",1,11.41,1,NA,297,"","","",1,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pomarine Jaeger","Stercorarius pomarinus","pomjae","Charadriiformes","Stercorariidae (Skuas and Jaegers)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Pomarine Skua","Stercorarius pomarinus","Pomarine Jaeger","Stercorarius pomarinus","Least Concern","Schedule-II","","",NA,"Pomarine Jaeger","Stercorarius pomarinus","avibase-7CB8F5B7",1,11.82,1,0.021187475,298,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown Skua","Stercorarius antarcticus","brnsku3","Charadriiformes","Stercorariidae (Skuas and Jaegers)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Summer Migrant",NA,1,NA,"Brown Skua","Stercorarius antarcticus","Brown Skua","Catharacta antarctica","Least Concern","Schedule-II","","",NA,"Brown Skua","Stercorarius antarcticus","avibase-4D5D2BC3",NA,15.26,1,NA,299,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Polar Skua","Stercorarius maccormicki","sopsku1","Charadriiformes","Stercorariidae (Skuas and Jaegers)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Summer Migrant",NA,1,NA,"South Polar Skua","Stercorarius maccormicki","South Polar Skua","Catharacta maccormicki","Least Concern","Schedule-II","","",NA,"South Polar Skua","Stercorarius maccormicki","avibase-7D1A9D5C",NA,17.06,1,NA,300,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Little Gull","Hydrocoloeus minutus","litgul","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"Little Gull","Hydrocoloeus minutus","Little Gull","Hydrocoloeus minutus","Least Concern","Schedule-II","","",NA,"Little Gull","Hydrocoloeus minutus","avibase-F89FD6E3",NA,5.81,1,NA,301,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black-legged Kittiwake","Rissa tridactyla","bklkit","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"24 hour","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"Black-legged Kittiwake","Rissa tridactyla","Black-legged Kittiwake","Rissa tridactyla","Vulnerable","Schedule-II","","",NA,"Black-legged Kittiwake","Rissa tridactyla","avibase-FB4D08F0",1,9.86,2,NA,302,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sabine's Gull","Xema sabini","sabgul","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"Sabine's Gull","Xema sabini","Sabine's Gull","Xema sabini","Least Concern","Schedule-II","","",NA,"Sabine's Gull","Xema sabini","avibase-86182656",NA,7.56,1,NA,303,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slender-billed Gull","Chroicocephalus genei","slbgul1","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Resident & Within-India Migrant",NA,NA,NA,"Slender-billed Gull","Chroicocephalus genei","Slender-billed Gull","Larus genei","Least Concern","Schedule-II","","Appendix II",NA,"Slender-billed Gull","Chroicocephalus genei","avibase-27CE7132",1,9.33,1,0.038707751,304,"","","",30,0.0333333333333333,0.2625,0.366666666666667,10.8333333333333,2.14106565653505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81387,81751,82115
"Black-headed Gull","Chroicocephalus ridibundus","bkhgul","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Moderate","Moderate Decline","Uncertain","Large","24 hour","24 hour","Omnivore","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Black-headed Gull","Chroicocephalus ridibundus","Black-headed Gull","Larus ridibundus","Least Concern","Schedule-II","","",10000,"Black-headed Gull","Chroicocephalus ridibundus","avibase-FB02DD96",1,10.27,1,0.02407621,305,"","","",77,0.12987012987013,0.24512987012987,0.376623376623377,12.0909090909091,1.29948147721038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421479,421932,422385
"Brown-headed Gull","Chroicocephalus brunnicephalus","bnhgul1","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Moderate","Strong Decline","Uncertain","Large","Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Winter Migrant & Localized Summer Migrant",NA,NA,NA,"Brown-headed Gull","Chroicocephalus brunnicephalus","Brown-headed Gull","Larus brunnicephalus","Least Concern","Schedule-II","","",1400,"Brown-headed Gull","Chroicocephalus brunnicephalus","avibase-C2868E7A",1,9.33,1,0.358392655,306,"","","",132,0.128787878787879,0.302083333333333,0.371212121212121,11.1818181818182,1.04054296886403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476470,476886,477302
"Laughing Gull","Leucophaeus atricilla","laugul","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"Laughing Gull","Leucophaeus atricilla","Laughing Gull","Larus atricilla","Least Concern","Recent addition","","",NA,"Laughing Gull","Leucophaeus atricilla","avibase-6CDC3C9C",NA,8.44,1,NA,307,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Franklin's Gull","Leucophaeus pipixcan","fragul","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"Franklin's Gull","Leucophaeus pipixcan","Franklin's Gull","Larus pipixcan","Least Concern","Schedule-II","","",NA,"Franklin's Gull","Leucophaeus pipixcan","avibase-57C93A74",NA,7.77,1,NA,308,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pallas's Gull","Ichthyaetus ichthyaetus","gbhgul2","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Low","Uncertain","Uncertain","Moderate","24 hour","24 hour","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Pallas's Gull","Ichthyaetus ichthyaetus","Pallas's Gull","Larus ichthyaetus","Least Concern","Schedule-II","","Appendix II",1000,"Pallas's Gull","Ichthyaetus ichthyaetus","avibase-EF930CDC",1,11.05,1,0.250516773,309,"","","",85,0.0705882352941176,0.252941176470588,0.411764705882353,10.4823529411765,1.28547216965671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343197,343625,344053
"Sooty Gull","Ichthyaetus hemprichii","soogul2","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"24 hour","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"Sooty Gull","Ichthyaetus hemprichii","Sooty Gull","Larus hemprichii","Least Concern","Schedule-II","","Appendix II",NA,"Sooty Gull","Ichthyaetus hemprichii","avibase-67D43542",1,9.68,1,NA,310,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White-eyed Gull","Ichthyaetus leucophthalmus","whegul2","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"White-eyed Gull","Ichthyaetus leucophthalmus","White-eyed Gull","Larus leucophthalmus","Least Concern","Schedule-II","","Appendix I",NA,"White-eyed Gull","Ichthyaetus leucophthalmus","avibase-A7F240E3",NA,9.25,1,NA,311,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Common Gull","Larus canus","mewgul","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"Mew Gull","Larus canus","Mew Gull","Larus canus","Least Concern","Schedule-II","","",NA,"Common Gull","Larus canus","avibase-00DA9D91",1,10.67,1,NA,312,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caspian Gull","Larus cachinnans","casgul2","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"24 hour","24 hour","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Caspian Gull","Larus cachinnans","Caspian Gull","Larus cachinnans","Least Concern","Schedule-II","","",NA,"Caspian Gull","Larus cachinnans","avibase-93CA037F",1,10.6,1,NA,313,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mongolian Gull","Larus mongolicus","casgul4","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"24 hour","24 hour","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Mongolian Gull","Larus mongolicus","Arctic Herring Gull","Larus smithsonianus","Least Concern","Schedule-II","","",NA,"Mongolian Gull","Larus mongolicus","avibase-E1325FAB",NA,10.87,1,NA,314,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser Black-backed Gull","Larus fuscus","lbbgul","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Low","Uncertain","Uncertain","Moderate","24 hour","24 hour","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Lesser Black-backed Gull","Larus fuscus","Lesser Black-backed Gull","Larus fuscus","Least Concern","Schedule-II","","",NA,"Lesser Black-backed Gull","Larus fuscus","avibase-2D52E3A5",1,12.66,3,0.03315485,315,"","","",47,0.0638297872340425,0.279255319148936,0.404255319148936,12.5106382978723,1.75112237906844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153233,153590,153947
"Indian Skimmer","Rynchops albicollis","indski1","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","High","Data Deficient","Data Deficient","Restricted","24 hour","24 hour","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Resident & Within-India Migrant",1,NA,NA,"Indian Skimmer","Rynchops albicollis","Indian Skimmer","Rynchops albicollis","Endangered","Schedule-I","","",40,"Indian Skimmer","Rynchops albicollis","avibase-88151F23",1,6.93,1,0.869605063,316,"","","",11,0.0909090909090909,0.227272727272727,0.454545454545455,11.6363636363636,3.78652085235104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46602,46972,47342
"Blue-billed White-Tern","Gygis candida","whiter4","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"24 hour","24 hour","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"Blue-billed White-Tern","Gygis candida","Common White Tern","Gygis candida","Least Concern","Schedule-II","","",NA,"Blue-billed White Tern","Gygis candida","avibase-0E429338",NA,10.32,1,NA,317,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown Noddy","Anous stolidus","brnnod","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"24 hour","24 hour","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Resident & Local Migrant",NA,NA,NA,"Brown Noddy","Anous stolidus","Brown Noddy","Anous stolidus","Least Concern","Schedule-II","","",NA,"Brown Noddy","Anous stolidus","avibase-A070171E",1,10.83,1,0.007750678,318,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser Noddy","Anous tenuirostris","lesnod1","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Uncertain",NA,NA,NA,"Lesser Noddy","Anous tenuirostris","Lesser Noddy","Anous tenuirostris","Least Concern","Schedule-II","","",NA,"Lesser Noddy","Anous tenuirostris","avibase-03F9EB15",1,6.43,1,0.071870326,319,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black Noddy","Anous minutus","blknod","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"24 hour","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"Black Noddy","Anous minutus","Black Noddy","Anous minutus","Least Concern","Schedule-II","","Appendix II",NA,"Black Noddy","Anous minutus","avibase-C67DCF31",NA,8.63,1,NA,320,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sooty Tern","Onychoprion fuscatus","sooter1","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",NA,NA,NA,NA,"24 hour","24 hour","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Resident & Winter Migrant",NA,NA,NA,"Sooty Tern","Onychoprion fuscatus","Sooty Tern","Onychoprion fuscatus","Least Concern","Schedule-II","","",NA,"Sooty Tern","Onychoprion fuscatus","avibase-3E7F825D",1,11.44,1,0.014582308,321,"","","",1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
